instrument,session,direction,state,n
ES,ASIA,-1,HIGH_VOLUME_DECAY,265
ES,ASIA,-1,HIGH_VOLUME_PROGRESS_CONTROL,1366
ES,ASIA,-1,LOW_VOLUME_DECAY_CONTROL,261
ES,ASIA,1,HIGH_VOLUME_DECAY,306
ES,ASIA,1,HIGH_VOLUME_PROGRESS_CONTROL,1282
ES,ASIA,1,LOW_VOLUME_DECAY_CONTROL,331
ES,LONDON,-1,HIGH_VOLUME_DECAY,196
ES,LONDON,-1,HIGH_VOLUME_PROGRESS_CONTROL,852
ES,LONDON,-1,LOW_VOLUME_DECAY_CONTROL,170
ES,LONDON,1,HIGH_VOLUME_DECAY,197
ES,LONDON,1,HIGH_VOLUME_PROGRESS_CONTROL,767
ES,LONDON,1,LOW_VOLUME_DECAY_CONTROL,241
ES,NEW_YORK,-1,HIGH_VOLUME_DECAY,220
ES,NEW_YORK,-1,HIGH_VOLUME_PROGRESS_CONTROL,1125
ES,NEW_YORK,-1,LOW_VOLUME_DECAY_CONTROL,130
ES,NEW_YORK,1,HIGH_VOLUME_DECAY,216
ES,NEW_YORK,1,HIGH_VOLUME_PROGRESS_CONTROL,890
ES,NEW_YORK,1,LOW_VOLUME_DECAY_CONTROL,194
NQ,ASIA,-1,HIGH_VOLUME_DECAY,244
NQ,ASIA,-1,HIGH_VOLUME_PROGRESS_CONTROL,1493
NQ,ASIA,-1,LOW_VOLUME_DECAY_CONTROL,206
NQ,ASIA,1,HIGH_VOLUME_DECAY,332
NQ,ASIA,1,HIGH_VOLUME_PROGRESS_CONTROL,1467
NQ,ASIA,1,LOW_VOLUME_DECAY_CONTROL,279
NQ,LONDON,-1,HIGH_VOLUME_DECAY,173
NQ,LONDON,-1,HIGH_VOLUME_PROGRESS_CONTROL,941
NQ,LONDON,-1,LOW_VOLUME_DECAY_CONTROL,129
NQ,LONDON,1,HIGH_VOLUME_DECAY,204
NQ,LONDON,1,HIGH_VOLUME_PROGRESS_CONTROL,856
NQ,LONDON,1,LOW_VOLUME_DECAY_CONTROL,184
NQ,NEW_YORK,-1,HIGH_VOLUME_DECAY,205
NQ,NEW_YORK,-1,HIGH_VOLUME_PROGRESS_CONTROL,1169
NQ,NEW_YORK,-1,LOW_VOLUME_DECAY_CONTROL,166
NQ,NEW_YORK,1,HIGH_VOLUME_DECAY,230
NQ,NEW_YORK,1,HIGH_VOLUME_PROGRESS_CONTROL,941
NQ,NEW_YORK,1,LOW_VOLUME_DECAY_CONTROL,228
